id;mossa;tipo;categoria;potenza;precisione;descrizione
243;devastomasso;roccia;fisico;150;90;Chi la usa attacca il nemico con un enorme masso, ma si deve riposare al turno successivo.
244;velenocroce;veleno;fisico;70;100;Attacco con zanne avvelenate che può anche avvelenare il Pokémon colpito. Probabile brutto colpo.
245;sporcolancio;veleno;fisico;120;80;Chi la usa attacca il nemico con rifiuti sudici che possono anche avvelenarlo.
246;metaltestata;acciaio;fisico;80;100;Chi la usa colpisce il nemico con la sua testa dura come l'acciaio. Può anche farlo tentennare.
247;bombagnete;acciaio;fisico;60;100;Chi la usa lancia bombe d'acciaio che si attaccano al nemico. Una mossa infallibile.
248;pietrataglio;roccia;fisico;100;80;Chi la usa colpisce il nemico dal basso con pietre affilate. Probabile brutto colpo.
249;schiamazzo;volante;speciale;65;100;Chi la usa attacca creando un'onda sonora con le parole imparate. Può anche confondere il nemico.
250;giudizio;normale;speciale;100;100;Chi la usa rilascia numerosi colpi di luce. Il tipo varia a seconda della Lastra tenuta.
251;coleomorso;coleottero;fisico;60;100;Chi la usa morde il nemico. Inoltre, se questi tiene una Bacca, gliela ruba e ne sfrutta gli effetti.
252;raggioscossa;elettro;speciale;50;90;Chi la usa lancia un fascio di elettricità molto intensa. Può anche aumentare il suo Attacco Speciale.
253;mazzuolegno;erba;fisico;120;100;Chi la usa si lancia con tutto il corpo contro il bersaglio, ma subisce anche considerevoli danni.
254;acquagetto;acqua;fisico;40;100;Chi la usa colpisce sempre per primo e a una tale velocità da rendersi quasi invisibile.
255;comandourto;coleottero;fisico;90;100;Chi la usa raduna i suoi sgherri per colpire il nemico. Probabile brutto colpo.
256;zuccata;roccia;fisico;150;80;Chi la usa attacca con tutta la potenza di cui dispone, ma subisce danni considerevoli.
257;doppiosmash;normale;fisico;35;90;Chi la usa colpisce il nemico con la coda due volte di fila.
258;fragortempo;drago;speciale;150;90;Chi la usa colpisce il nemico con una forza capace di alterare il tempo, ma deve stare fermo il turno dopo.
259;fendispazio;drago;speciale;100;95;Chi la usa lacera il nemico e lo spazio che lo circonda. Probabile brutto colpo.
260;magmaclisma;fuoco;speciale;100;75;Intrappola il nemico in un turbine di fuoco che dura per quattro o cinque turni.
261;infuriaseme;erba;speciale;120;85;Chi la usa genera un'onda d'urto dal suo corpo. Può anche ridurre di molto la Difesa Speciale del bersaglio.
262;funestovento;spettro;speciale;60;100;Chi la usa crea una raffica di vento ripugnante. Può aumentare tutte le statistiche di chi la usa.
263;oscurotuffo;spettro;fisico;120;100;Chi la usa sparisce e poi colpisce il nemico al turno successivo. Evita pure Protezione o Individua.
264;psicoshock;psico;speciale;80;100;Chi la usa attacca il bersaglio facendo materializzare un misterioso raggio psichico che provoca danni fisici.
265;velenoshock;veleno;speciale;65;100;Lancia uno speciale liquido tossico sul bersaglio. Se questi è avvelenato, il danno provocato raddoppia.
266;abbattimento;roccia;fisico;50;100;Chi la usa lancia una pietra o un proiettile. Può colpire anche un bersaglio in volo e farlo cadere.
267;tempestretta;lotta;fisico;60;100;Chi la usa sferra un colpo micidiale al bersaglio, stritolandolo. Brutto colpo assicurato.
268;pirolancio;fuoco;speciale;70;100;Chi la usa emana una fiammata che colpisce il bersaglio e si propaga fino a raggiungere i Pokémon accanto.
269;fangonda;veleno;speciale;95;100;Lancia un'onda di fango che attacca tutti i Pokémon nelle vicinanze. Può anche avvelenare.
270;sincrumore;psico;speciale;120;100;Chi la usa infligge danni a tutti i Pokémon del suo stesso tipo che ha vicino usando misteriose onde elettromagnetiche.
271;nitrocarica;fuoco;fisico;50;100;Chi la usa si copre di fuoco e attacca il bersaglio. Concentrandosi aumenta, inoltre, la propria Velocità.
272;calciobasso;lotta;fisico;65;100;Chi la usa colpisce con un attacco fulmineo la parte inferiore del corpo del bersaglio, riducendone la Velocità.
273;acidobomba;veleno;speciale;40;100;Chi la usa attacca il bersaglio con un acido altamente corrosivo. Il fluido riduce di molto la Difesa Speciale del bersaglio.
274;ripicca;buio;fisico;95;100;Chi la usa sfrutta la forza del bersaglio. Il danno inflitto è proporzionale all'Attacco dell'avversario.
275;coro;normale;speciale;60;100;Attacca il bersaglio con una melodia. Se usata ripetutamente da uno o più Pokémon i danni inflitti aumentano.
276;echeggiavoce;normale;speciale;40;100;Attacca il bersaglio con la propria voce echeggiante. Se usata a ripetizione da uno o più Pokémon il danno aumenta.
277;insidia;normale;fisico;70;100;Chi la usa attacca non appena il bersaglio abbassa la guardia. Il danno inflitto prescinde dalle modifiche alle statistiche.
278;pulifumo;veleno;speciale;50;100;Attacca il bersaglio lanciandogli contro una nuvola di fumo speciale, che annulla ogni modifica alle statistiche.
279;veicolaforza;psico;speciale;20;100;Attacca il bersaglio con l'energia accumulata. Più sono state aumentate le statistiche, maggiore è il danno inflitto.
280;idrovampata;acqua;speciale;80;100;Chi la usa attacca il bersaglio con un getto d'acqua bollente che può anche scottarlo.
281;sciagura;spettro;speciale;65;100;Attacco che causa un danno enorme se il bersaglio ha problemi di stato.
282;cadutalibera;volante;fisico;60;100;Porta il bersaglio in cielo e lo scaglia a terra al turno successivo. Il bersaglio catturato non può muoversi.
283;ribaltiro;lotta;fisico;60;90;Il bersaglio è scaraventato via ed è costretto a lasciare il posto a un altro. Se è selvatico, la lotta finisce.
284;bruciatutto;fuoco;speciale;60;100;Attacca il nemico con una fiammata. Se il nemico ha una Bacca, viene divorata dalle fiamme.
285;acrobazia;volante;fisico;55;100;Attacca rapidamente il bersaglio. Se chi la usa non ha uno strumento, infligge al nemico grossi danni.
286;nemesi;normale;fisico;70;100;Vendica un compagno messo KO. Se ciò è accaduto al turno precedente, il danno è maggiore.
287;marchiatura;fuoco;speciale;100;50;Il bersaglio viene avvolto da intense fiammate che causano scottature.
288;acquapatto;acqua;speciale;80;100;Attacca il nemico con una colonna d'acqua. Se usata con Fiammapatto, aumentano gli effetti e un arcobaleno appare in cielo.
289;fiammapatto;fuoco;speciale;80;100;Attacca il nemico con una colonna di fuoco. Se usata con Erbapatto, aumentano gli effetti e il campo diventa un mare di fuoco.
290;erbapatto;erba;speciale;80;100;Attacca il bersaglio con una colonna d'erba. Se usata con Acquapatto, gli effetti aumentano e il campo diventa una palude.
291;invertivolt;elettro;speciale;70;100;Chi usa questa mossa fa marcia indietro per farsi sostituire dopo aver sferrato l'attacco.
292;entomoblocco;coleottero;speciale;50;100;Colpisce i nemici opponendo resistenza e riducendo il loro Attacco Speciale.
293;battiterra;terra;fisico;60;100;Chi la usa calpesta il terreno e scatena un terremoto che danneggia tutti i Pokémon nei paraggi e ne riduce anche la Velocità.
294;alitogelido;ghiaccio;speciale;60;90;Chi la usa attacca il bersaglio con un soffio d'aria gelida. Brutto colpo assicurato.
295;codadrago;drago;fisico;60;90;Chi la usa fa volar via il bersaglio in modo che venga sostituito. Se il bersaglio è un Pokémon selvatico, la lotta finisce.
296;elettrotela;elettro;speciale;55;95;Chi la usa attacca i nemici catturandoli con una ragnatela elettrica e riducendone la Velocità.
297;sprizzalampo;elettro;fisico;90;100;Chi la usa si carica di elettricità per poi scagliarsi sul bersaglio, ma subisce dei danni per il contraccolpo.
298;giravvita;terra;fisico;80;95;Chi la usa si scaglia sul bersaglio ruotando su se stesso come un trapano perforante. Probabile brutto colpo.
299;doppiocolpo;drago;fisico;40;90;Chi la usa attacca due volte il bersaglio con dei colpi estremamente forti.
300;cuorestampo;psico;fisico;60;100;Chi la usa distrae il nemico con un faccino innocente per poi sferrargli un colpo devastante che può farlo tentennare.
301;legnicorno;erba;fisico;75;100;Chi la usa infilza il bersaglio con le corna e assorbe una quantità di PS pari a metà del danno inferto.
302;spadasolenne;lotta;fisico;90;100;Chi la usa taglia il nemico con una spada magica. Il danno inflitto ignora le modifiche alle statistiche del bersaglio.
303;conchilama;acqua;fisico;75;95;Chi la usa colpisce il bersaglio con il suo guscio affilato. Il colpo può anche ridurre la Difesa del bersaglio.
304;vorticerba;erba;speciale;65;90;Chi la usa avvolge e attacca il bersaglio con foglie affilate che possono anche ridurne la precisione.
305;rulloduro;coleottero;fisico;65;100;Chi la usa ruota su se stesso ad alta velocità e schiaccia il bersaglio. Può anche farlo tentennare.
306;urtoscuro;buio;speciale;85;95;Chi la usa attacca il bersaglio con un'onda d'urto oscura che può ridurne la precisione.
307;psicobotta;psico;speciale;100;100;Chi la usa attacca il bersaglio facendo materializzare un misterioso raggio psichico che provoca danni fisici.
308;spazzasberla;normale;fisico;25;85;Chi la usa colpisce il bersaglio con la sua coda dura da due a cinque volte di fila.
309;tifone;volante;speciale;110;70;Chi la usa attacca il bersaglio avvolgendolo con un vento fortissimo. Può anche confonderlo.
310;ricciolata;normale;fisico;120;100;Chi la usa carica il bersaglio con la sua testa in stile afro, ma subisce un po' di danni per il contraccolpo.
311;ingracolpo;acciaio;fisico;50;85;Chi la usa colpisce il bersaglio due volte di fila lanciandogli contro dei dischi d'acciaio.
312;sparafuoco;fuoco;speciale;100;100;Chi la usa lancia fiamme scarlatte sui Pokémon intorno a sé. Può anche scottare.
313;tecnobotto;normale;speciale;120;100;Chi la usa rilascia un colpo di luce contro il bersaglio. Il tipo varia a seconda del modulo che ha.
314;cantoantico;normale;speciale;75;100;Chi la usa attacca i nemici intonando un'antica melodia che colpisce il loro spirito. Può anche farli addormentare.
315;spadamistica;lotta;speciale;85;100;Chi la usa attacca il bersaglio tagliandolo con una spada mistica. La misteriosa energia sprigionata provoca danni fisici.
316;gelamondo;ghiaccio;speciale;65;95;Chi la usa attacca i nemici con una folata d'aria gelida e ne riduce anche la Velocità.
317;lucesiluro;elettro;fisico;130;85;Colpisce il bersaglio con una possente carica elettrica e può anche paralizzarlo.
318;fuocoblu;fuoco;speciale;130;85;Chi la usa attacca il bersaglio avvolgendolo con magnifiche e intense fiamme blu che possono anche scottarlo.
319;voldifuoco;fuoco;speciale;80;100;Chi la usa avvolge il bersaglio tra le fiamme. Può anche aumentare l'Attacco Speciale.
320;elettrogelo;ghiaccio;fisico;140;90;Chi la usa lancia contro il nemico al turno successivo una sfera di ghiaccio ricoperta di elettricità. Può anche paralizzarlo.
321;vampagelida;ghiaccio;speciale;140;90;Chi la usa attacca il bersaglio al turno successivo e lo avvolge in un soffio d'aria congelata. Può anche scottarlo.
322;urlorabbia;buio;speciale;55;95;Chi la usa si mette a urlare per un po', riducendo l'Attacco Speciale dei nemici.
323;scagliagelo;ghiaccio;fisico;85;90;Chi la usa attacca violentemente il nemico con grosse stalattiti di ghiaccio che possono anche farlo tentennare.
324;generatore v;fuoco;fisico;180;95;Chi la usa carica emettendo fiamme ardenti dalla fronte, a costo di una riduzione di Difesa, Difesa Speciale e Velocità.
325;incrofiamma;fuoco;speciale;100;100;Chi la usa lancia una fiammata enorme. Se usata in combinazione con Incrotuono, il danno provocato dalla mossa aumenta.
326;incrotuono;elettro;fisico;100;100;Chi la usa lancia un fulmine enorme. Se usata in combinazione con Incrofiamma, il danno provocato dalla mossa aumenta.
327;schiacciatuffo;lotta;fisico;100;95;Chi la usa si tuffa sul bersaglio dall'alto. È una mossa di tipo Lotta e Volante allo stesso tempo.
328;rutto;veleno;speciale;120;90;Chi la usa attacca il bersaglio con un rutto potente. Per utilizzare questa mossa, il Pokémon deve mangiare la bacca che possiede.
329;pungiglione;coleottero;fisico;50;100;L'Attacco di chi la usa aumenta notevolmente se grazie alla mossa il bersaglio va KO.
330;spettrotuffo;spettro;fisico;90;100;Chi la usa scompare improvvisamente per attaccare poi nel turno seguente. Questa mossa neutralizza le difese del bersaglio.
331;caricaparabola;elettro;speciale;65;100;Chi la usa attacca tutto ciò che lo circonda e recupera PS pari alla metà del danno inflitto.
332;fiortempesta;erba;fisico;90;100;Infligge danni ai Pokémon che ha intorno attaccandoli con una tempesta di fiori.
333;liofilizzazione;ghiaccio;speciale;70;100;Chi la usa raffredda rapidamente il bersaglio. Può anche congelarlo. Questa mossa è superefficace contro i Pokémon Acqua.
334;incantavoce;folletto;speciale;40;100;Chi la usa infligge un danno spirituale ai nemici nei paraggi con una voce suadente. L'attacco andrà immancabilmente a segno.
335;assorbibacio;folletto;speciale;50;100;Un bacio fatato che assorbe le energie al nemico.
336;carineria;folletto;fisico;90;90;Chi la usa attacca il bersaglio con delle carinerie. Può anche ridurne l'attacco.
337;vento di fata;folletto;speciale;40;100;Attacca con un forte vento fatato.
338;forza lunare;folletto;speciale;95;100;Accumula la forza proveniente dalla luna e la libera sul nemico. Può ridurre l'Attacco Speciale.
339;ondaboato;normale;speciale;140;100;Colpisce i Pokémon che ha intorno con la forza di un boato distruttivo.
340;diamantempesta;roccia;fisico;100;95;Colpisce i nemici che ha intorno con una tempesta di diamanti. Può anche aumentare la Difesa di chi la usa.
341;vaporscoppio;acqua;speciale;110;95;Travolge il bersaglio con un'ondata di vapore rovente che può anche scottarlo.
342;forodimensionale;psico;speciale;80;100;Chi la usa, sfrutta un passaggio interdimensionale per comparire a fianco del bersaglio e colpirlo, eludendo mosse come Protezione e Individua.
343;acqualame;acqua;speciale;15;100;Chi la usa attacca sempre per primo, colpendo il bersaglio con uno shuriken di muco da due a cinque volte di fila.
344;magifiamma;fuoco;speciale;75;100;Colpisce il bersaglio soffiandogli contro delle fiammate incredibilmente roventi, riducendone l'Attacco Speciale.
345;magibrillio;folletto;speciale;80;100;Emette una luce potentissima che infligge danni al bersaglio.
346;elettrococcola;elettro;fisico;20;100;Nonostante il tenero nome è una mossa piuttosto pericolosa.
347;riguardo;normale;fisico;40;100;Chi la usa attacca il bersaglio, modulando il colpo in modo da lasciargli almeno un PS.
348;assillo;coleottero;speciale;20;100;Chi la usa lancia un attacco che tormenta il bersaglio per quattro o cinque turni, durante i quali gli impedisce di fuggire.
349;crescipugno;lotta;fisico;40;100;Rende i pugni più duri a ogni colpo inferto. Se i pugni vanno a segno, aumenta l'Attacco.
350;ali del fato;volante;speciale;80;100;Chi la usa assorbe energia dal bersaglio recuperando una quantità di PS pari a più della metà del danno inferto.
351;mille frecce;terra;fisico;90;100;Colpisce anche i Pokémon che fluttuano in aria. I nemici nei paraggi vengono scaraventati a terra.
352;mille onde;terra;fisico;90;100;Un’onda strisciante investe i nemici intorno impedendo loro di fuggire.
353;forza tellurica;terra;fisico;90;100;Chi la usa raccoglie energia tellurica e ne concentra il potere sui nemici che ha intorno danneggiandoli.
354;luce nefasta;folletto;speciale;140;90;Concentra il potere del Fiore Eterno in un raggio di luce potentissimo. Provoca contraccolpo di ⅓.
355;primopulsar;acqua;speciale;110;85;Attacca i nemici intorno colpendoli con miriadi di raggi di luce blu.
356;spade telluriche;terra;fisico;120;85;Attacca i nemici intorno trasformando la potenza della terra in lame affilate.
357;ascesa del drago;volante;fisico;120;100;Permette di proiettarsi in aria e fiondarsi sul bersaglio attaccando ad altissima velocità. Riduce la Difesa e la Difesa Speciale di chi la usa.
358;urtodimensionale;buio;fisico;100;100;Permette di attaccare ripetutamente grazie ai molti arti, ignorando mosse come Protezione o Individua. Riduce la Difesa di chi la usa.
